show_id,note_seq,note
"2011-12-16_-_Troubadour_-_Los_Angeles,_CA",2,"""Rainbow in the Dark"" was sung a cappella, only the first verse and chorus."
"2009-03-26_-_Donovan's_Pub_at_Colgate_University_-_Hamilton,_NY",1,"John Vanderslice played on songs 13 through 16, and sang lead vocals on song 13. He also apparently played an upcoming Moon Colony Bloodbath song during his opening set."
"2009-03-27_-_The_Society_for_Ethical_Culture_-_New_York,_NY",1,"""1 John 4:16"" was played on piano."
"2009-03-27_-_The_Society_for_Ethical_Culture_-_New_York,_NY",2,"John Vanderslice played on songs 18 through 20, and sang lead vocals on ""Columns Pillars Steps""."
"2009-03-29_-_Kenyon_College_-_Gambier,_OH",1,John Vanderslice played on songs 14 through 16.
"2013-01-15_-_An_Evening_of_Awesome_-_Isaac_Stern_Auditorium_at_Carnegie_Hall_-_New_York,_NY",1,"This John Darnielle and Jon Wurster duo show was part of John & Hank Green's ""An Evening of Awesome""."
"2013-01-15_-_An_Evening_of_Awesome_-_Isaac_Stern_Auditorium_at_Carnegie_Hall_-_New_York,_NY",2,Video of the Mountain Goats 's entire set is viewable here .
"2013-01-15_-_An_Evening_of_Awesome_-_Isaac_Stern_Auditorium_at_Carnegie_Hall_-_New_York,_NY",3,"""This Year"" was performed at a different time than the rest of the set, at the end of the entire show, and all of the performers joined the Goats for the finale. ( video )"
"2009-03-30_-_Oberlin_College_-_Oberlin,_OH",1,"John Vanderslice sang lead vocals on ""Columns Pillars Steps""."
"2009-03-30_-_Oberlin_College_-_Oberlin,_OH",2,Selist may not be in order.
"2009-04-01_-_Portage_Theater_-_Chicago,_IL",1,"John Vanderslice plays on songs 15 through 18, and sings lead vocals on ""Columns Pillars Steps""."
"2009-09-18_-_Ithaca_College_-_Ithaca,_NY",1,Songs 8 and 9 were played on keyboard.
"2009-10-09_-_Paradiso_-_Amsterdam,_The_Netherlands",1,Songs 1-4 and 17 were played on keyboard.
"2009-10-10_-_Queen_Elizabeth_Hall_-_London,_England",1,Songs 1-4 and 21 were played on piano.
"2011-04-05_-_The_Vic_Theatre_-_Chicago,_IL",1,John 's solo set was songs 8 through 10.
"2011-04-05_-_The_Vic_Theatre_-_Chicago,_IL",2,"Tim Midgett of Silkworm sang lead vocals on ""Plain""."
"2009-10-11_-_Ruby_Lounge_-_Manchester,_England",1,Songs 1-5 were played on piano.
"2009-10-11_-_Ruby_Lounge_-_Manchester,_England",2,"""The Jungle"" is apparently the first song that John ever wrote (written when he was eight)."
"1995-04-19_-_VPRO_Radio_-_Amsterdam,_Netherlands",1,"Allen Callaci of Refrigerator sang ""Lonesome Surprise"" with John via telephone; this recording is the exact same version that appears on Nine Black Poppies ."
"1995-04-19_-_VPRO_Radio_-_Amsterdam,_Netherlands",2,"Part of a quote by the woman interviewing The Mountain Goats from this session appears before the Nine Black Poppies recording of "" Pure Money ""."
"2009-10-15_-_Magnet_-_Berlin,_Germany",1,Songs 1-5 were played on piano.
"2002-12-07_-_Amstel_Festival_-_Amsterdam,_The_Netherlands_(Mountain_Goats_set)",1,See also the Extra Glenns set that occurred on the same day.
"2002-12-07_-_Amstel_Festival_-_Amsterdam,_The_Netherlands_(Extra_Glenns_set)",1,See also the Mountain Goats set that occurred on the same day.
"2000-09-17_-_The_Make-Out_Room_-_San_Francisco,_CA",1,Songs 18 through 22 were performed with Franklin Bruno as The Extra Glenns .
