song_key,song_title,n_plays,first_t,first_played,last_played,album,is_cover,opportunities,play_rate,play_rate_shrunk,deep_cut,surprisal
The Damned,The Damned,1,673,2014-06-27,2014-06-27,Unreleased,True,638,0.001567398119122257,0.002427252684828906,False,6.020995243594988
This Is My Father's World,This Is My Father's World,1,719,2015-09-12,2015-09-12,Unreleased,True,592,0.0016891891891891893,0.0026096932461068954,False,5.948522594781997
The Day the Aliens Came,The Day the Aliens Came,1,1166,2023-12-13,2023-12-13,"Come, Come to the Sunset Tree",False,145,0.006896551724137931,0.00967958949465103,False,4.637735786170251
15-2,15-2,1,4,1992-10-01,1992-10-01,Unreleased,False,1307,0.0007651109410864575,0.0012035661391239037,True,6.722466346601878
Trying to Remember the Video with Lita Ford,Trying to Remember the Video with Lita Ford,1,648,2014-01-19,2014-01-19,Unreleased,False,663,0.0015082956259426848,0.002338407418180703,True,6.058285171840461
Are You Cleaning Off the Stone?,Are You Cleaning Off the Stone?,1,29,1996-03-23,1996-03-23,Hot Garden Stomp,False,1282,0.00078003120124805,0.0012266760880318126,True,6.703447135038185
Bad Priestess,Bad Priestess,1,483,2011-04-08,2011-04-08,Zopilote Machine,False,828,0.0012077294685990338,0.0018834106917658257,True,6.274670948061574
The Autopsy Garland,The Autopsy Garland,1,1030,2021-10-15,2021-10-15,All Eternals Deck,False,281,0.0035587188612099642,0.005306087264509702,False,5.238900577018546
25,25,1,9,1993-03-07,1993-03-07,Unreleased,False,1302,0.0007680491551459293,0.001208118204703041,True,6.718691332681302
Accentuate the Positive,Accentuate the Positive,1,237,2006-10-01,2006-10-01,Unreleased,True,1074,0.000931098696461825,0.001459901523416289,False,6.529386295251597
Young and Endangered,Young and Endangered,1,928,2019-05-09,2019-05-09,unreleased,False,383,0.0026109660574412533,0.003963107361333549,False,5.530726874216353
Black Diamond,Black Diamond,1,940,2019-07-17,2019-07-17,Unreleased,False,371,0.0026954177897574125,0.004084737254776011,False,5.500497872255036
These Days,These Days,1,673,2014-06-27,2014-06-27,Unreleased,True,638,0.001567398119122257,0.002427252684828906,False,6.020995243594988
Babe,Babe,1,518,2011-08-05,2011-08-05,Unreleased,True,793,0.0012610340479192938,0.0019644923328627556,False,6.232521421817481
Tomb of the Assassin,Tomb of the Assassin,1,1116,2023-04-01,2023-04-01,Unreleased,False,195,0.005128205128205128,0.007428522170313582,False,4.902428340397333
The Cat Came Back,The Cat Came Back,1,607,2013-01-20,2013-01-20,Unreleased,True,704,0.0014204545454545455,0.00220598379367047,False,6.1165817046553865
You Take the High Road,You Take the High Road,1,67,1999-01-23,1999-01-23,Unreleased,False,1244,0.0008038585209003215,0.0012635540083998577,True,6.673826886976473
You've Got to Have a Mouse in Your Life,You've Got to Have a Mouse in Your Life,1,1260,2025-09-22,2025-09-22,Unreleased,False,51,0.0196078431372549,0.022494820656583384,False,3.7944701893109856
40 Hours,40 Hours,1,545,2012-04-19,2012-04-19,Unreleased,True,766,0.0013054830287206266,0.0020319748939152927,False,6.198747104698877
Back for Good,Back for Good,1,1102,2022-12-05,2022-12-05,Unreleased,False,209,0.004784688995215311,0.006974376710119738,False,4.96551231582391
You're So Vain,You're So Vain,1,1183,2024-03-03,2024-03-03,"Hail and Farewell, Gothenburg",True,128,0.0078125,0.010791434233901488,False,4.529002586033785
The Mummy's Hand,The Mummy's Hand,1,184,2005-06-16,2005-06-16,Unreleased,False,1127,0.0008873114463176575,0.0013924431269550306,True,6.576695429399041
