song_key,song_title,n_main,n_encore,is_cover,n_tracked_plays,encore_rate,encore_rate_shrunk,eligible
Full Flower,Full Flower,2,0,False,2,0.0,0.17316129032258065,False
Ethiopians,Ethiopians,1,1,False,2,0.5,0.27316129032258063,False
Friend of the Devil,Friend of the Devil,2,0,True,2,0.0,0.17316129032258065,False
Feed This End,Feed This End,2,0,False,2,0.0,0.17316129032258065,False
My Little Panda,My Little Panda,2,0,False,2,0.0,0.17316129032258065,False
"Ice Cream, Cobra Man","Ice Cream, Cobra Man",2,0,False,2,0.0,0.17316129032258065,False
If I Should Fall From Grace With God,If I Should Fall From Grace With God,2,0,True,2,0.0,0.17316129032258065,False
Matthew 11:14-19,Matthew 11:14-19,2,0,False,2,0.0,0.17316129032258065,False
Milk Song,Milk Song,2,0,False,2,0.0,0.17316129032258065,False
Wild Palm City,Wild Palm City,1,1,False,2,0.5,0.27316129032258063,False
Lucretia My Reflection,Lucretia My Reflection,2,0,True,2,0.0,0.17316129032258065,False
Green Olives,Green Olives,1,1,False,2,0.5,0.27316129032258063,False
Quetzalcoatl is Born,Quetzalcoatl is Born,2,0,False,2,0.0,0.17316129032258065,False
Rat Queen,Rat Queen,2,0,False,2,0.0,0.17316129032258065,False
Scavenger Babies,Scavenger Babies,2,0,False,2,0.0,0.17316129032258065,False
Un Rêve Plus Long Que la Nuit,Un Rêve Plus Long Que la Nuit,2,0,False,2,0.0,0.17316129032258065,False
Memories,Memories,2,0,True,2,0.0,0.17316129032258065,False
Just a Closer Walk with Thee,Just a Closer Walk with Thee,2,0,True,2,0.0,0.17316129032258065,False
Tulsa Imperative,Tulsa Imperative,2,0,False,2,0.0,0.17316129032258065,False
Alpha Negative,Alpha Negative,2,0,False,2,0.0,0.17316129032258065,False
The Sign,The Sign,0,2,True,2,1.0,0.3731612903225806,False
There Is Power in a Union,There Is Power in a Union,2,0,True,2,0.0,0.17316129032258065,False
The Pig Song,The Pig Song,2,0,False,2,0.0,0.17316129032258065,False
The Ultimate Jedi Who Wastes All the Other Jedi and Eats Their Bones,The Ultimate Jedi Who Wastes All the Other Jedi and Eats Their Bones,2,0,False,2,0.0,0.17316129032258065,False
Star Dusting,Star Dusting,2,0,False,2,0.0,0.17316129032258065,False
Going to Marrakesh,Going to Marrakesh,1,1,False,2,0.5,0.27316129032258063,False
"Shot, Repeatedly, At Close Range, In the Chest, By Your Love","Shot, Repeatedly, At Close Range, In the Chest, By Your Love",1,0,False,1,0.0,0.19240143369175627,False
Goblin Wizard in the Crawlspace of My Heart,Goblin Wizard in the Crawlspace of My Heart,1,0,False,1,0.0,0.19240143369175627,False
Saigon Shrunken Panorama,Saigon Shrunken Panorama,1,0,False,1,0.0,0.19240143369175627,False
Satanic Messiah (Song),Satanic Messiah (Song),1,0,False,1,0.0,0.19240143369175627,False
Proverbs 6:27,Proverbs 6:27,1,0,False,1,0.0,0.19240143369175627,False
Prominent Metaphysicians of South Pomona,Prominent Metaphysicians of South Pomona,1,0,False,1,0.0,0.19240143369175627,False
Programmed Cell Death,Programmed Cell Death,1,0,False,1,0.0,0.19240143369175627,False
Sally MacLennane,Sally MacLennane,1,0,True,1,0.0,0.19240143369175627,False
Seeing Daylight,Seeing Daylight,1,0,False,1,0.0,0.19240143369175627,False
Short Song About the 10 Freeway,Short Song About the 10 Freeway,1,0,False,1,0.0,0.19240143369175627,False
Quetzalcoatl Comes Through,Quetzalcoatl Comes Through,1,0,False,1,0.0,0.19240143369175627,False
Going to Wisconsin,Going to Wisconsin,1,0,False,1,0.0,0.19240143369175627,False
Original Air-Blue Gown,Original Air-Blue Gown,1,0,False,1,0.0,0.19240143369175627,False
Hatha Hill,Hatha Hill,1,0,False,1,0.0,0.19240143369175627,False
"Here I Am, Lord","Here I Am, Lord",1,0,True,1,0.0,0.19240143369175627,False
Holidays in the Sun,Holidays in the Sun,1,0,True,1,0.0,0.19240143369175627,False
Hellhound on My Trail,Hellhound on My Trail,1,0,True,1,0.0,0.19240143369175627,False
Here I Am,Here I Am,1,0,True,1,0.0,0.19240143369175627,False
Hospital Reaction Shot,Hospital Reaction Shot,1,0,False,1,0.0,0.19240143369175627,False
Hopeful Assassins of Zeno,Hopeful Assassins of Zeno,1,0,False,1,0.0,0.19240143369175627,False
I Wonder Where Our Love Has Gone,I Wonder Where Our Love Has Gone,1,0,True,1,0.0,0.19240143369175627,False
I Know You've Come to Take My Toys Away,I Know You've Come to Take My Toys Away,1,0,False,1,0.0,0.19240143369175627,False
Palisades Park,Palisades Park,1,0,True,1,0.0,0.19240143369175627,False
Puffin',Puffin',1,0,True,1,0.0,0.19240143369175627,False
Radical Evil Song,Radical Evil Song,1,0,False,1,0.0,0.19240143369175627,False
Rock and Roll All Night,Rock and Roll All Night,1,0,False,1,0.0,0.19240143369175627,False
One Fine Day,One Fine Day,1,0,True,1,0.0,0.19240143369175627,False
New London,New London,1,0,False,1,0.0,0.19240143369175627,False
Orange,Orange,0,1,True,1,1.0,0.3035125448028674,False
Good Morning to All Vultures,Good Morning to All Vultures,1,0,False,1,0.0,0.19240143369175627,False
"Lie Down, Keep Still, Play Dead","Lie Down, Keep Still, Play Dead",1,0,False,1,0.0,0.19240143369175627,False
Wishing the House Would Crash,Wishing the House Would Crash,1,0,False,1,0.0,0.19240143369175627,False
Love and Marriage,Love and Marriage,0,1,True,1,1.0,0.3035125448028674,False
Treetop Song,Treetop Song,1,0,False,1,0.0,0.19240143369175627,False
Alibi,Alibi,1,0,False,1,0.0,0.19240143369175627,False
All Devils Here Now,All Devils Here Now,1,0,False,1,0.0,0.19240143369175627,False
All for the Best,All for the Best,1,0,False,1,0.0,0.19240143369175627,False
All of You,All of You,0,1,False,1,1.0,0.3035125448028674,False
Alpha Double Negative: Going to Catalina,Alpha Double Negative: Going to Catalina,1,0,False,1,0.0,0.19240143369175627,False
Back for Good,Back for Good,0,1,False,1,1.0,0.3035125448028674,False
Balance,Balance,1,0,False,1,0.0,0.19240143369175627,False
Barracuda,Barracuda,1,0,True,1,0.0,0.19240143369175627,False
Warm Lonely Planet,Warm Lonely Planet,1,0,False,1,0.0,0.19240143369175627,False
Used to Haunt,Used to Haunt,1,0,False,1,0.0,0.19240143369175627,False
Until Olympius Returns,Until Olympius Returns,1,0,False,1,0.0,0.19240143369175627,False
Lonesome Surprise,Lonesome Surprise,0,1,True,1,1.0,0.3035125448028674,False
Letter from a Motel,Letter from a Motel,1,0,False,1,0.0,0.19240143369175627,False
Keep It on Your Mind,Keep It on Your Mind,1,0,True,1,0.0,0.19240143369175627,False
