city,n_shows,raw_mean_bits,shrunk_mean_bits,lat,lon
Atlantic City,1,1.920887518243774,2.5633166184088263,39.36415,-74.42306
Oakland,1,1.8796995711674576,2.5587401798447913,37.80437,-122.2708
Santa Ana,1,1.8671936834274616,2.5573506367625694,33.74557,-117.86783
Royal Oak,1,1.8572037932838288,2.5562406489688327,42.48948,-83.14465
Frankfurt,1,1.855222356782344,2.5560204893575564,52.52437,13.41053
Vienna,2,2.205402781877412,2.555976761119049,48.20849,16.37208
Penascola,1,1.8425826690492515,2.554616079609435,30.33218,-81.65565
Ourense,1,1.8333159197502236,2.5535864407984317,42.33669,-7.86407
Sarasota,1,1.825104756314666,2.552674089305592,27.33643,-82.53065
Linköping,1,1.8189815100168285,2.5519937286058325,58.41086,15.62157
Shelburne,1,1.8135524668921184,2.551390501591976,44.47588,-73.21207
George,1,1.811902040098681,2.5512071208371494,47.60621,-122.33207
Sacramento,1,1.8042336751173091,2.550355080283664,38.58157,-121.4944
Edmonton,1,1.8017156674488173,2.5500753016538313,53.55014,-113.46871
Clifton Park,1,1.7885929359962611,2.548617220381325,42.86563,-73.77095
Peoria,1,1.7787358013539394,2.5475219831988447,40.69365,-89.58899
Munich,1,1.7769055601902792,2.547318623069549,48.13743,11.57549
Oxford,2,2.1583643111163546,2.5465690669668373,34.3665,-89.51925
Munhall,1,1.7660220293907554,2.546109341869602,39.95238,-75.16362
Albany,2,2.1539710751766203,2.5456904197788903,42.65258,-73.75623
Brisbane,5,2.385572505152949,2.5443711210154163,-27.46794,153.02809
Washington,17,2.497602347830318,2.544328078422043,38.89511,-77.03637
Portland,35,2.5190952564560853,2.542262698218573,45.52345,-122.67621
Ottawa,1,1.7304941954746262,2.54216180476781,45.41117,-75.69812
Winnipeg,1,1.7122958816944134,2.540139769903342,49.8844,-97.14704
Fayetteville,2,2.1223126504545995,2.539358734834486,36.06258,-94.15743
Milton,1,1.704941650488644,2.5393226331027012,39.74595,-75.54659
Sydney,10,2.4557153477618305,2.5392286402807764,-33.86785,151.20732
Papillion,1,1.6989651659000875,2.5386585792595278,41.15444,-96.04224
Wichita,1,1.6933952924274822,2.5380397044292384,37.69224,-97.33754
Huntington,3,2.2561479305255863,2.537945985364766,38.41925,-82.44515
El Paso,1,1.6862150799944071,2.5372419030477857,31.75872,-106.48693
Savannah,2,2.110035529379252,2.5369033106194165,32.08354,-81.09983
Brussels,2,2.0985436511978204,2.5346049349831303,50.85045,4.34878
Jackson,1,1.6365084730235846,2.531718946717694,41.13998,-104.82025
Des Moines,3,2.2263931021993746,2.52983103218489,41.60054,-93.60911
Salina,1,1.6169052663644885,2.529540812644461,38.84028,-97.61142
Anaheim,1,1.5929464567870095,2.526878722691408,33.83529,-117.9145
Santa Barbara,1,1.5795605087695572,2.5253913951339135,34.42083,-119.69819
Billings,1,1.5628104114073391,2.523530273204778,45.78329,-108.50069
Bar Harbor,1,1.5568593299797802,2.5228690419350492,43.65737,-70.2589
Detroit,8,2.397257750469431,2.5204390031994444,42.33143,-83.04575
Baton Rouge,3,2.1911405084776283,2.5202166884425954,30.44332,-91.18747
Fort Worth,1,1.523726551538117,2.519187622108198,32.72541,-97.32085
Roswell,1,1.519726089655084,2.5187431263434163,33.39437,-104.52491
Albuquerque,1,1.5139006162555635,2.5180958515212475,35.08449,-106.65114
Pelham,1,1.490316142687686,2.51547535445815,36.16589,-86.78444
Hartford,2,1.9912592258089046,2.5131480499053476,41.76371,-72.68509
Perth,6,2.338475573535366,2.512843963474847,-31.95224,115.8614
Costa Mesa,1,1.4532607724701672,2.511358091100648,33.64113,-117.91867
Norman,2,1.9804764024444683,2.51099148523246,35.22257,-97.43948
Ann Arbor,1,1.4188493260062458,2.507534597049101,42.27756,-83.74088
York,3,2.1441970460825295,2.5074139259712047,39.9626,-76.72774
Cologne,2,1.957064821750805,2.5063091690937274,52.52437,13.41053
West Columbia,1,1.399735558296403,2.505410845081341,33.99349,-81.07398
Covington,1,1.3966903089245526,2.505072484040024,39.08367,-84.50855
Charlottesville,6,2.317733684323449,2.5039545823840257,38.02931,-78.47668
Pioneertown,1,1.3627975787293891,2.50130662512945,34.05223,-118.24368
Saint Louis,1,1.359238637394539,2.500911187203356,39.09973,-94.57857
Sweden,1,1.3502475719770295,2.4999121799347437,,
Kalamazoo,4,2.206701827879995,2.4979807799129703,42.29171,-85.58723
Aspen,1,1.3172681716576655,2.496247802121481,39.73915,-104.9847
Little Rock,2,1.8971930826191972,2.4943348212674055,34.74648,-92.28959
Honolulu,2,1.8966438338738665,2.4942249715183396,21.30694,-157.85833
Flagstaff,1,1.2589114649321176,2.48976372359642,35.19807,-111.65127
Toulouse,1,1.2481605177195094,2.4885691739061304,43.60426,1.44367
Omaha,6,2.2817193489407663,2.488519867220018,41.25626,-95.94043
Nashville,10,2.3628409577248712,2.48763175692691,36.16589,-86.78444
Santa Fe,3,2.071541640183435,2.4875988152714514,35.68698,-105.9378
Allentown,1,1.2141700819696373,2.4847924588228114,40.60843,-75.49018
Madrid,2,1.8484107806264256,2.484578360868851,40.4165,-3.70256
Ardmore,3,2.0576470734758163,2.483809387987556,39.95238,-75.16362
Salt Lake City,7,2.3000018060942153,2.483264979339678,40.76078,-111.89105
Columbus,8,2.318463609704415,2.4810419328169364,39.96118,-82.99879
Maquoketa,2,1.8240409896824827,2.4797044026800625,41.60054,-93.60911
First Avenue,1,1.1423411277227655,2.476811463906492,,
Englewood,3,2.0317428929407977,2.4767446114780047,39.64777,-104.98776
Tampa,3,2.024056145114099,2.474648225707087,27.94752,-82.45843
Hammondsport,1,1.1206010638305473,2.4743959012518015,40.71427,-74.00597
Brighton,5,2.1946744142821086,2.470948778372785,50.82838,-0.13947
Buffalo,5,2.1913119802906533,2.4696555345299176,42.88645,-78.87837
West Hollywood,3,2.0045408317532623,2.469325867517768,34.09001,-118.36174
Bozeman,1,1.074754681188585,2.4693018587360274,45.67965,-111.03856
Minneapolis,9,2.3060572574784692,2.464910433220111,44.97997,-93.26384
Barcelona,3,1.9864423885098397,2.4643899284513804,41.38879,2.15899
Hampton Bays,1,1.0237968006247924,2.4636398720067176,40.71427,-74.00597
Milwaukee,7,2.2512874337228737,2.4605316055663855,43.0389,-87.90647
Accord,1,0.9655871211733652,2.4571721298454476,40.71427,-74.00597
Indianapolis,6,2.2082047796296416,2.4570136232295363,39.76838,-86.15804
Fort Collins,4,2.0834412520694623,2.4568939213094594,40.58526,-105.08442
North Adams,1,0.9265644424033608,2.4528362766487803,42.35843,-71.05977
Pomona,4,2.0674880838806446,2.4515761985798536,34.05529,-117.75228
London,24,2.3871177887356683,2.4512434055341155,51.50853,-0.12574
Melbourne,9,2.278878086586528,2.4505214603949654,-37.814,144.96332
Adelaide,6,2.190817795761568,2.449562058714648,-34.92866,138.59863
Ft. Lauderdale,2,1.666312006026693,2.448158605948905,30.33218,-81.65565
Bloomington,10,2.2861684288717656,2.445035907564073,39.16533,-86.52639
Tulsa,3,1.9106725884716014,2.4437254375318607,36.15398,-95.99277
Memphis,2,1.641533715243659,2.4432029477922983,35.14953,-90.04898
Copenhagen,2,1.6346869499186278,2.441833594727292,55.67594,12.56553
Las Vegas,2,1.6334859020252082,2.4415933851486082,36.17497,-115.13722
Huber Heights,1,0.7993988098073177,2.4387067619158866,39.84395,-84.12466
Auckland,3,1.8909914065999036,2.438357842475943,-36.84853,174.76349
