show_id,date,tour,n_candidates,n_played,mean_surprisal_played_bits,cross_entropy_bits
"2003-07-02_-_The_Guinguette_Pirate_-_Paris,_France",2003-07-02,,285.0,17.0,2.7184094758388975,0.20667520018465105
"2003-08-23_-_Breadstretchers_-_Springfield,_IL",2003-08-23,,285.0,13.0,3.383282804119821,0.2053901429433202
"2003-09-26_-_Walter's_on_Washington_-_Houston,_TX",2003-09-26,Western U.S. Tour 2003,286.0,14.0,2.8092526907538136,0.18841481586330228
"2003-09-27_-_Mercury_-_Austin,_TX",2003-09-27,Western U.S. Tour 2003,288.0,16.0,1.7181091523059937,0.16569832340696933
"2003-10-03_-_Berbati's_Pan_-_Portland,_OR",2003-10-03,Western U.S. Tour 2003,288.0,17.0,2.0606913341125006,0.2047815789257095
"2003-10-04_-_Tractor_Tavern_-_Seattle,_WA",2003-10-04,Western U.S. Tour 2003,288.0,14.0,1.6095950113249475,0.14932583329006371
"2003-11-11_-_Kimmel_Center_-_New_York_University_-_New_York,_NY",2003-11-11,,289.0,17.0,2.535432218775569,0.1915566022991674
"2004-02-01_-_WXDU_Session_-_Durham,_NC",2004-02-01,,289.0,4.0,4.5180063027302495,0.09094209213813652
"2004-02-10_-_Cafe_Du_Nord_-_San_Francisco,_CA",2004-02-10,Winter Tour 2004,290.0,18.0,2.8954047888449406,0.22112072142662076
"2004-02-11_-_Dennis_Kucinich_Headquarters_-_San_Francisco,_CA",2004-02-11,Winter Tour 2004,290.0,10.0,5.236427258621592,0.3086169123324465
"2004-02-11_-_Mills_College_Chapel_-_Oakland,_CA",2004-02-11,Winter Tour 2004,290.0,14.0,1.8947467730515195,0.15290284213402006
"2004-02-18_-_The_EARL_-_Atlanta,_GA",2004-02-18,Winter Tour 2004,291.0,15.0,2.647717303101676,0.2007712147319029
"2004-02-20_-_Will's_Pub_-_Orlando,_FL",2004-02-20,Winter Tour 2004,292.0,15.0,1.7541797288918788,0.1426900320187878
"2004-02-20_-_Vinyl_Fever_-_Tallahassee,_FL",2004-02-20,Winter Tour 2004,291.0,6.0,2.418450360516144,0.13133038993468638
"2004-02-26_-_The_Maintenance_Shop_-_Ames,_IA",2004-02-26,Winter Tour 2004,292.0,17.0,2.5606035630889625,0.199286441054791
"2004-03-02_-_First_Unitarian_Church_-_Philadelphia,_PA",2004-03-02,Winter Tour 2004,292.0,15.0,2.1525922239838167,0.1697633835362828
"2004-03-03_-_Knitting_Factory_-_New_York,_NY",2004-03-03,Winter Tour 2004,292.0,17.0,1.515766924833427,0.1296093284498968
"2004-03-05_-_T.T._the_Bear's_-_Cambridge,_MA",2004-03-05,Winter Tour 2004,292.0,14.0,1.5271636705487606,0.12535887259931877
"2004-03-25_-_Cafe_de_la_Danse_-_Paris,_France",2004-03-25,European Tour 2004,292.0,12.0,2.4104613664128896,0.13717371841320786
"2004-03-27_-_VPRO_Session_-_Amsterdam,_Netherlands",2004-03-27,European Tour 2004,292.0,4.0,5.044447937052473,0.12987154965124983
"2004-03-29_-_Mains_D'Oeuvres_-_Paris,_France",2004-03-29,European Tour 2004,293.0,14.0,1.7635164846079463,0.13016157882519247
"2004-03-31_-_ICA_-_London,_England",2004-03-31,European Tour 2004,293.0,16.0,1.7107771746459677,0.1343849083756463
"2004-04-02_-_XFM_Session_-_London,_England",2004-04-02,European Tour 2004,293.0,3.0,2.4930481608680966,0.06765367509098277
"2004-04-08_-_Peel_Session_-_London,_England",2004-04-08,European Tour 2004,294.0,0.0,,0.050645249539271124
"2004-04-20_-_Go!_Rehearsal_Studios,_Room_4_-_Carrboro,_NC",2004-04-20,,298.0,16.0,4.799446350863834,0.31088365542137036
"2004-05-21_-_KEXP_Session_-_Seattle,_WA",2004-05-21,West Coast Tour 2004,299.0,3.0,4.7248626734018755,0.0752327242029608
"2004-05-26_-_Bottom_of_the_Hill_-_San_Francisco,_CA",2004-05-26,West Coast Tour 2004,299.0,17.0,3.1655027750610722,0.2188587686009105
"2004-05-27_-_Bottom_of_the_Hill_-_San_Francisco,_CA",2004-05-27,West Coast Tour 2004,300.0,19.0,2.881942965766334,0.23233940741932077
"2004-07-17_-_Benefit_for_Piedmont_Wildlife_Center_-_Cat's_Cradle_-_Carrboro,_NC",2004-07-17,,300.0,12.0,4.245136105079247,0.2223350394083927
2004-08-15_-_Live_at_the_Wireless_-_Triple_J_Session,2004-08-15,,302.0,5.0,4.470027866752311,0.13652634751953688
"2004-08-20_-_Durham_Music_Festival_-_Durham_Armory_-_Durham,_NC",2004-08-20,,302.0,12.0,4.622643075936158,0.20825382355727454
"2004-10-04_-_Magic_Stick_-_Detroit,_MI",2004-10-04,Fall Tour 2004,304.0,15.0,3.909358687529197,0.24274985938942403
"2004-10-08_-_Knitting_Factory_-_New_York,_NY",2004-10-08,Fall Tour 2004,306.0,16.0,1.5598313406591497,0.15430275438972935
"2004-10-11_-_The_Black_Cat_-_Washington,_D.C.",2004-10-11,Fall Tour 2004,306.0,16.0,1.6224781760428795,0.14163800652503944
"2004-10-12_-_Cat's_Cradle_-_Carrboro,_NC",2004-10-12,Fall Tour 2004,307.0,13.0,1.0235347577216831,0.10551499020076878
"2004-10-15_-_The_Social_-_Orlando,_FL",2004-10-15,Fall Tour 2004,307.0,13.0,1.3124724250499398,0.12403510210103079
"2004-10-18_-_The_EARL_-_Atlanta,_GA",2004-10-18,Fall Tour 2004,307.0,16.0,2.2537474519792,0.1821873000955174
"2004-10-19_-_Village_Tavern_-_Mt._Pleasant,_SC",2004-10-19,Fall Tour 2004,307.0,18.0,1.9274588426480632,0.17587460806085536
"2004-12-04_-_Wedge_Gallery_-_Asheville,_NC",2004-12-04,,307.0,3.0,5.964915223832793,0.11602323316750864
"2005-01-26_-_WELH_Session_-_Providence,_RI",2005-01-26,,308.0,4.0,4.076803256911432,0.0806469352801341
"2005-03-04_-_Gate_City_Noise_-_Greensboro,_NC",2005-03-04,,309.0,14.0,4.360828668533104,0.24410375772427334
"2005-03-23_-_Emo's_-_Austin,_TX",2005-03-23,First Spring Tour 2005,309.0,15.0,3.683096617843327,0.22065252536822347
"2005-03-25_-_Rubber_Gloves_-_Denton,_TX",2005-03-25,First Spring Tour 2005,312.0,16.0,2.6870576529511565,0.2532918400327113
"2005-04-28_-_Will's_Pub_-_Orlando,_FL",2005-04-28,Eastern North America Tour 2005,312.0,14.0,3.1461090395989895,0.1882423710314815
"2005-05-02_-_Cat's_Cradle_-_Carrboro,_NC",2005-05-02,Eastern North America Tour 2005,313.0,16.0,1.1961047339998978,0.12480229018220924
"2005-05-03_-_The_Black_Cat_-_Washington,_D.C.",2005-05-03,Eastern North America Tour 2005,313.0,14.0,1.0969612942654583,0.10669577002221588
"2005-05-04_-_First_Unitarian_Church_-_Philadelphia,_PA",2005-05-04,Eastern North America Tour 2005,314.0,15.0,1.805496472491314,0.15896743950040748
"2005-05-05_-_Knitting_Factory_-_New_York,_NY",2005-05-05,Eastern North America Tour 2005,315.0,16.0,1.0314271723279769,0.10138681678983837
"2005-05-07_-_Northsix_-_Brooklyn,_NY",2005-05-07,Eastern North America Tour 2005,315.0,16.0,1.5411550771355442,0.13199290229829216
"2005-05-08_-_The_Middle_East_-_Cambridge,_MA",2005-05-08,Eastern North America Tour 2005,315.0,2.0,0.5417852383796291,0.1085887089558395
"2005-05-10_-_La_Sala_Rossa_-_Montreal,_Quebec",2005-05-10,Eastern North America Tour 2005,316.0,6.0,1.9019276469844462,0.12211647002477063
"2005-05-13_-_Logan_Square_-_Chicago,_IL",2005-05-13,Eastern North America Tour 2005,316.0,6.0,0.7529083628463855,0.07389780076900558
"2005-05-14_-_NPR_Session_-_Studio_4A_-_Washington,_D.C.",2005-05-14,Eastern North America Tour 2005,316.0,3.0,1.689586301913602,0.05412821388375642
"2005-06-16_-_KEXP_Session_-_Seattle,_WA",2005-06-16,,316.0,4.0,4.827537712572316,0.08155351372904772
"2005-06-18_-_China_Clipper_-_Olympia,_WA",2005-06-18,West Coast Tour 2005,317.0,12.0,3.750722683038608,0.17674395500305135
"2005-06-19_-_Neumo's_-_Seattle,_WA",2005-06-19,West Coast Tour 2005,319.0,16.0,2.8710676637631405,0.2050830445556781
"2005-06-20_-_Doug_Fir_Lounge_-_Portland,_OR",2005-06-20,West Coast Tour 2005,319.0,17.0,3.017884648191075,0.22901876937484344
"2005-06-21_-_WOW_Hall_-_Eugene,_OR",2005-06-21,West Coast Tour 2005,319.0,14.0,1.7971920598770004,0.13158334546324585
"2005-06-23_-_Bottom_of_the_Hill_-_San_Francisco,_CA",2005-06-23,West Coast Tour 2005,319.0,14.0,1.663559615282285,0.12390911192562633
"2005-06-24_-_Bottom_of_the_Hill_-_San_Francisco,_CA",2005-06-24,West Coast Tour 2005,320.0,17.0,2.374760673803429,0.17597377158163666
"2005-06-25_-_Troubadour_-_West_Hollywood,_CA",2005-06-25,West Coast Tour 2005,320.0,1.0,2.3525811739911395,0.10169360716387552
"2005-07-02_-_Old_American_Can_Factory_-_Brooklyn,_NY",2005-07-02,,320.0,15.0,4.117907732486976,0.2301779815421913
"2005-07-04_-_Fulton_Mall_Parking_Garage_-_Brooklyn,_NY",2005-07-04,,320.0,14.0,3.6697754836036176,0.1973484606414046
"2005-09-08_-_Bar_Bodega_-_Wellington,_New_Zealand",2005-09-08,Australia and New Zealand Tour 2005,320.0,2.0,2.842498159484701,0.06368553408034201
