song_key,shows_since_last,played_last_show,career_rate,song_age_years,tour_rate,in_tour_pool,is_special_show,ewma_10,ewma_25,ewma_50,ewma_100,ewma_200,new_material,as_of_date,tour,p_model
Before I Got There,9,0.0,0.2620689655172414,4.687200547570157,0.1111111111111111,1.0,0.0,0.2822638557766631,0.33840863468055443,0.3421877263622999,0.3158138926565857,0.2917321068141423,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.10028564316191732
Hello Sarah,1,1.0,0.004268943436499467,17.180013689253936,0.1111111111111111,1.0,0.0,0.06742246289242686,0.03105990171961277,0.018882870931062782,0.011507383210494744,0.007387409529303754,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.10025608586465558
Sign of the Crow 2,3,0.0,0.023232323232323233,18.198494182067076,0.1111111111111111,1.0,0.0,0.05829816942064386,0.02591442196935912,0.014243707413941637,0.010098733104515813,0.010852823758461394,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.08838366620031561
Grendel's Mother,3,0.0,0.07609531129900077,31.770020533880903,0.1111111111111111,1.0,0.0,0.12059114649945474,0.09449453951396415,0.08741712263063187,0.0872808330844199,0.08303231427056704,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.08570648991578592
Cutter,3,0.0,0.013438735177865613,29.141683778234086,0.1111111111111111,1.0,0.0,0.05836934318688128,0.02847962616553926,0.0201593573313576,0.015835845993238756,0.012896963188908914,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.07538308292195837
Water Tower,12,0.0,0.5641025641025641,2.108145106091718,0.0,0.0,0.0,0.20279936591438746,0.3573930056991163,0.4529603020346578,0.5080540282481085,0.5362020389249627,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.07525851828262431
Moon Over Goldsboro,10,0.0,0.11580882352941177,19.761806981519506,0.0,0.0,0.0,0.36279949510878134,0.3990854455968107,0.32357186027934187,0.23522061398262278,0.1777630429993036,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.07364185729838099
Slow West Vultures,4,0.0,0.05728727885425442,23.143052703627653,0.1111111111111111,1.0,0.0,0.05439682018841892,0.02575061810653545,0.01693283037180335,0.01702645915062973,0.024487648660414727,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.07076104937998567
Alpha Rats Nest,4,0.0,0.052719665271966525,23.312799452429843,0.1111111111111111,1.0,0.0,0.05454031808668265,0.030406556526942914,0.027058634429427297,0.028771762813009593,0.03821499398515932,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.07044135229413603
Color in Your Cheeks,5,0.0,0.10098522167487685,24.21902806297057,0.1111111111111111,1.0,0.0,0.10286085597063026,0.09264859316423112,0.08309235233730838,0.08010500884907501,0.08209686074881775,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.06925531954815252
The Last Limit of Bhakti,5,0.0,0.007502679528403001,17.163586584531142,0.1111111111111111,1.0,0.0,0.06774413598086991,0.04833470786295461,0.032804719351480625,0.021377510916326132,0.014291883870289178,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.0675726429813166
You or Your Memory,10,0.0,0.27616534740545295,21.075975359342916,0.0,0.0,0.0,0.28981834980412124,0.32759343882325914,0.33410187494244376,0.33695451815928135,0.31663924066226795,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.0672305433982287
Going to Michigan,4,0.0,0.008921330089213302,26.223134839151268,0.1111111111111111,1.0,0.0,0.05439412228079629,0.025214883322486198,0.013938346198077793,0.008968860149642216,0.007028003069991396,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.06599823855209729
Rocks in My Pockets,12,0.0,0.5238095238095238,0.6433949349760438,0.0,0.0,0.0,0.3363108696401731,0.4509375096553243,0.48843453566374323,0.5064484475807862,0.5152174839514606,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.06543854325707431
Horseradish Road,4,0.0,0.02238209432454037,28.12046543463381,0.1111111111111111,1.0,0.0,0.055632032659964255,0.03420020547823082,0.027328721861163214,0.02178988353859717,0.018015423862016208,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.06486285840275718
Cold at Night,9,0.0,0.40540540540540543,0.487337440109514,0.1111111111111111,1.0,0.0,0.17829846708944314,0.29917717694900026,0.3503183823209586,0.3774566127271856,0.3913419497620603,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.060182929725409035
Corsican Mastiff Stride,10,0.0,0.29780564263322884,5.47296372347707,0.0,0.0,0.0,0.12104225634159817,0.2032916327796202,0.222377642004075,0.24564742290793815,0.268123343501759,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.05899248576356485
Incandescent Ruins,10,0.0,0.27491408934707906,4.689938398357289,0.0,0.0,0.0,0.11211171071483092,0.12854000728922604,0.1845397719288256,0.23519017638476264,0.2589177995809288,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.05779806345144647
Waylon Jennings Live!,11,0.0,0.26555023923444976,7.997262149212868,0.0,0.0,0.0,0.16321442734348504,0.15687181920284646,0.15916831715017934,0.1857268306139774,0.21812749057212907,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.057457760597204
